Preferred-job,Preferred-industry,Redo-subjects,Current-skills,Job-portals,Missing-subjects,Certification-domain,Domain,Location
Ml engineer,"IT/Software, Finance, Manufacturing","Healthcare, and agriculture ","Coding, data science",Linkedin,Managing people,Machine learning,Computer science,Mumbai
,"IT/Software, Education",yes skilling and certification,public speaking,,"ai, promt engineering",yse,Bsc CS,Mumbai
Student,IT/Software,Ai,Web development,,Trending technology,Web development,Science,Mumbai
Accountant,Finance,No change,"Data analysis ,excel/tally,",Linkedin,Ai integrated study,Nil,Commerce,Mumbai
School,"Education, Manufacturing",Travel,"Adobe, canva and Google classroom ",Linkedin,Specialization in specific field from early age,History and accontany,History,Mumbai
Ceo,"IT/Software, Healthcare, Marketing",AI,,,Practical knowledge,No,Science,Mumbai
"Lab assistant, teachers","IT/Software, Healthcare, Education, Marketing","AI, Coding software",Fluent speaking,Naukri.com LinkedIn,Psid internships,Life Science,Bsc Life Science,Mira road
Full Stack Developer,IT/Software,Blockchain,"programming, adaptability, leaner, communication ",Linkedin,"DevOps, Chip Designing",,Computer Science,Kalyan
Web developer,"IT/Software, Finance, Healthcare, Education",Hotel management,Nothing,Linkedin,No,No,Computer science,Mumbai
Athlete,"Education, ",English,No,,Research,Philosophy,B.a (English),Porto Alegre
Process trainer.,"IT/Software, Healthcare, Education",AI,,LinkedIn,Coding n computer knowledge is must,No,BBA,Pune
Hr,Renewable energy,Hr analysis,Naukri n linkedin,Li,Real time,Maybe,Mba,Nasik
-,"Healthcare, Marketing",Data science,Problem solving,-,"Data analysis , on job training ",-,Bsc Life sciences,Vasai
HR,"Finance, Education, HR",Stock market is what I would pay more attention to.,Good with Microsoft and libre,Linkdin,Stress management and problem solving,,BACHELOR'S IN MANAGEMENT STUDIES (BMS in finance),Mumbai
Data Scientist,IT/Software,"Python Coding, Machine learning and AI and Data Analysis.","Technical Skills: 
Python
Power BI
Machine Learning and Forecasting
Data Analysis
Cloud Computing (Azure) 
ETL
SQL

Soft Skills :
Effective Communication
Team Work
Analytical Thinking
Research
",LinkedIn,None that I can think of,Data Analytics,Computer Applications,Pune
Govt sector,Govt services,Sociology,Public speaking,,Missing vocational training,Political science,Arts,Prayagraj
Telecaller,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing",Biology,"English, sales, marketing",No,Medical,No,Science,Kalyan
Customer Service executive,"Finance, Education, Accounts ",Accounts,Communication Skills,No,Application of subjects and topics that we learn during academics,No,B Com,Mumbai
Management,"Finance, Marketing",Science,**,LinkedIn,Practicals,**,Accounts,Thane
"Site Engineer, Supervisor","Manufacturing, Marketing, Construction ","Structure, Steel","AutoCAD,Canva,Microsoft Excel ",LinkedIn,Softwares that are actually used in the market,"AutoCAD,Excel,STAAD.pro",Civil,Ludhiana
Civil engineering,Construction,Structure,N.a,,Practical,No,Civil engineering,Ludhiana
Artist,Fine artist,Biology,"Management, Team leading,Painting",No,Psychology,No,Fine arts,Mumbai
Marketing,Marketing,Chemistry,Vocational,Linkedin,Training for pressure to how you can face the problem,Yes,Biology,Bhadohi
No job,Marketing,Business study,Nothing,Marketing finance,Coding,On,English medium,Bhadohi
Financial management,Finance,Finance and accounts,Nothing,No,Technical,Mscit,Bcom,Mumbai
â€”,Healthcare,Psychology,"Speaking skills, presentation skills",,"Research writing, case studies etc",Biology and Psychology,Bsc Biotechnology,Mumbai
Clinical,"Healthcare, Education",Finance n marketing,"Networking,Professionalism,problem solving,critical thinking",,Practical knowledge,Na,Medical,Mumbai
Trading,Trading,Economics geography and maths,Good English speaking,,"Financial management, psychology, money making, vocal skills, etc",No,Commerce,Thane
software developer,IT/Software,coding language,Logical thinking problem solving,,english speaking,no,Science,Kopargaon
Data science,IT/Software,"Coding subject like c, java, python","Coding, good communication skills",LinkedIn,Teaching core programming and they shouldn't teach more than 1 programming language in a year.,,Science/ computer science,Mumbai
Marketing,Marketing,English,Proficiency in Design Softwares,LinkedIn,"Company Environments, Job Hunting ",No,BA( Communication and Journalism,Mumbai
Back office,"Healthcare, ",English (specially grammar),MSCIT,LinkedIn,Confidence,,ECed,Mumbai
Developer / Graphic Designer,IT/Software,"AI, Data Science ",-,LinkedIn,-,-,Computer Science,Kalyan
Editor,Education,Research,Writing,Linkedln,,Coursera Courses,Master of Arts In Communication and Journalism,Mumbai
Software engineer,"IT/Software, Finance",Coding subjects,,Linkedn,Prompt engineering,,Btech engineering cse,Patia
No,"Healthcare, Education, CSR ",Skills based,Not any,,"AI, soft skills, technical ",No,Social work,Mumbai
Student,"Education, ",Not applicable,,Linkedin,Not applicable,Not applicable,Science,Mumbai
none,"IT/Software, Education, Manufacturing, Marketing",Maths,i am confident in my manner of speaking with individuals,none,soft skills,cs,computer science,Kalyan
Content Management,"Education, Marketing",Science,-,Linkedin,Management and leadership skills,Content writing and digital marketing,English Literature,Mumbai
ML Engineer,IT/Software,Language,"Full Stack Development, Machine Learning basics.",LinkedIn,AI related skills,"AI, Web Development, NVIDIA Jetson Nano",Btech in Computer Science and Engineering,Vadodara
Project management,"Healthcare, Marketing",How to make and manage money,Crm knowledge soft skills,LinkedIn,Money control and how to understand market,"Operations management, project management ",Operations management,Pune
,"Healthcare, Education",Interpersonal skills/ Psychology,Fashion design & Arts and crafts,No,How to get a job and retain it,Na,Home Science - Textiles and Fashion Technology,Mumbai
Accounts clerk,Education,Sociology,,No,Practical,No,Economic,Mumbai
Social Worker Executive,Social Work,-,"Collaboration, leadership ",Indeed,-,-,Master's Of Social Work,Navi Mumbai 
Analyst,"IT/Software, Finance, Healthcare, Education, Manufacturing",IT,Analyst,,Industrial training,Computer management,Commerce,Kalyan
Freelancer,Marketing,Quit education,Binge watching,Shaadi.com,Education,No,Science,Navi Mumbai
Developer,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing",Programming,Public speaking,LinkedIn,Practical implementation of many technologies,Data analyst,Computer Science engineering,Mumbai
Not working,IT/Software,Maths,Web development and machine learning,Glassdoor,Practical,Machine learning,Computer science,Mumbai
,IT/Software,Finance,,,,,Information Technology,Mumbai
Data Analyst,"IT/Software, Finance, Education, Marketing",,Good communication skills,Linkedin,,,Computer Science,Mumbai
Industry,"Healthcare, Manufacturing",Bio Chem Physics,,LinkedIn,Complex problem solving and many more,No,B. Pharmacy,Vasai
IT sector,Finance,Financial modelling and statement,Communication,Linkedin,Real industry on field things,Start-up certification,Mba,Mumbai
Teacher,Education,IT,Computing,,Practical experiences,Artificial intelligence,"Arts English, History, Education ",Mumbai
JR.Clerk,"Finance, Education","MBA,HR,BBA",Computer,Linkedin,Job opportunities and practical experience,No,Arts,Nashik
Professor,Education,Poltics,Vocational,,Practical application,Sociology,Sociology,Pune
Asst Teacher,Education,English and Maths,Computer skills,No,Confident,IT,B.Ed,Mumbai
Web Developer,IT/Software,ML,Coding in java,,Cloud computing,No,Computer Science,Titwala
Legal officer,Legal sector,Humanities,Research,,Not aware,No,Law,Alirajpur
Psychologist,"Healthcare, Education","Cognitive Psychology, Adolescent Psychology and Statistics",Internship Experience,,"Guided Counseling sessions, Personal Therapy",Emotional Intelligence,Psychology,Raipur
Community worker,Healthcare,IT,"Communication, public relations",Naukri,Each one can choose their own preference in studies and style of learning,Quantitative Research,MSW,Mumbai
Co-operate,Marketing,Computer science,Web analytics,LinkedIn,Computer software,No,Arts,Pune
Export Coordinator,Healthcare,Banking,Pursuing masters,Job hai,Emotional intelligence,Digital marketing,English,Palghar
No,"IT/Software, Finance, Manufacturing, Marketing",Coding subjects,Nothing,LinkedIn,Communication Skills,No,BSC COMP SCI,Mumbai
Psychologist/ Counsellor,"Healthcare, Education",Wouldnâ€™t want to redo.,-,-,-,-,Bachelor of Arts,Navi Mumbai
data analyst,IT/Software,maths,coding,,soft skills,data science,science,MUMBAI
Software developer,IT/Software,"Practical skillset , Ongoing tech stack",.,"LinkedIn, Glassdoor ",Update in technology used,Na,B tech IT,Mumbai
Assistant Manager,"Marketing, Sales",Business Communications and Marketing,Public Speaking,Linkedin,Personal Counselling,,Tourism,Mumbai
Sound engineer,Film studio,Music,Computers,,Practical skills,,BA/BPh,Goa
Missionary,Education,English,I don't knowðŸ˜…,Dont knowðŸ˜…,Technical skills,English spoken and communication skills,English,Shillong
High School Teacher,Education,,French Proficiency and Singing,LinkedIn,Financial Literacy,,English Literature,Mumbai
HR operations,"Finance, Healthcare",Psychology,"Excel, Digital Marketing ",Internshala and Indeed,How to make investments,.,Bachelor of Management Studies,Mumbai
Finance,Finance,Music,Digital cources,,Critical thinking,Financial modelling,Finance,Mumbai
Assistant Professor,Education,Statistics n Allied Sciences,Sports Training and communication,linkedin,Allied Sciences and Lab set ups,research n sports training,Physical education,Mumbai
IT,"IT/Software, Finance",Maths,Yes,LinkedIn Naukri Glassdoor,Finance,Finance,Computer Science,Pune
Office Assistant,Education,History,Spoken English,,Spoken English,No,HEP,Udupi
AI Engineer,IT/Software,Literature,CNC programming,,Technical programming practicals,-,Bsc Computer Science,Ahmednagar
Microbiologist,"Healthcare, Manufacturing, Research",MBA,"Event management, Team leader",LinkedIn,"Time management, finance management ",No,Bsc in Microbiology,Mumbai
Junior Engineer,Manufacturing,3D modelling,Mechanical Engineering concepts,,Financial Literacy,3D modelling,Mechanical engineering,Navi Mumbai
Metadata Co-ordinator,Media,I wont redo,Excel,,No,Non,Sociology majors,Mumbai
Business,"Education, Manufacturing, Marketing, ","History, English, Geography ",Quite a few,Non,"A genuine career guidance (a lot of institutions come to schools/Colleges saying that they have come here to guide youngsters to find their choice of career but in the end they will try n push u into what they provide eg. majority of the times they tell students to choose science n go into medical or engineering even though the students' interests lie in quite the opposite) skills like managing your money, time n especially discipline. And there is a lot to change in Indian education system. ",non,Arts,Mumbai
Manager,"Education, Marketing",Management,Basic,LinkedIn,Software,No,Product Design,Pune
Salesian,Education,Mass Media,"Leadershipâ€¦ PR Skills, video editing, sound management etc",,Man management,AI,Education,Panjim
"Data analysis, Digital marketing, Content Marketing ","IT/Software, Education, Marketing",programming language,"Data analysis, beginning Python, Adobe Photoshop, Adobe illustrator, Graphic design, Leadership qualities, Problem solving, etc.",LinkedIn,Stress management is an important skill I think I would need for my future job,Python and Database Management Systems,Mass Media,Mumbai
Mechanical Design Engineer,"Manufacturing, Aerospace Design","Material Science, Strength of Materials, Fluid Dynamics","Good Leadership Skills, Oratory skills",Linkedin,"Metrology, Failure Design",CAD design,Mechanical Engineering,Mumbai
.,Finance,Mass media,Editing skills,Indeed,.,Fashion designing,Double majors in eco com,Mumbai
Educator/Teacher,Education,Commerce or Biotechnology,"Adaptability, problem solving, Communication, leadership, empathy 
Rapport building, management skills, creativity, Teamwork, commitment ",LinkedIn,"Financial literacy skills, ",-,Humanities,Goa
Data Analyst / Biostatistics,"IT/Software, Healthcare",Technical programming subjects,-,LinkedIn,"Practical Application, Industry Specific Tools",-,BSc- Statistics,Badlapur
Clinical job,"Healthcare, ",Agriculture,Photography,No,Technology literacy & Data analysis,No,Bsc. Microbiology,Ahmednagar
Desktop Support Engineer,"IT/Software, Education",IT subject,"Cloud computing, communication",LinkedIn & Internshala,AI,Cloud computing,Science,Vasai
Accounts and Finance,"Finance, Manufacturing, Marketing",Accounts and Economics,"Quick Learner, Observing etc",LinkedIn,Real situations,No,Bcom,Mumbai
Teacher,"Healthcare, Education",AI and psychology,Video editing,No,How to deal with the pressure.,No,BA,Mumbai
Teaching,Education,Zoology,Not specified,Work India,Confidence,No,Science,Mumbai
Security analysts,"IT/Software, Finance",Ai/ml,"Programming, problem solving, communication skills, leadership skills etc",LinkedIn indeed,Deep knowledge in ai/ml . Cross platform knowledge,"Unreal engine course , data science  etc",Comp sci,Mumbai
Financial Analyst,Finance,,,LinkedIn,,,Bachelor of Business Administration (Finance),Pune
"Asst. Teacher, Musician","Education, Music",Psychology,"Editing, recording, video, writing, etc.",LinkedIn,.,.,"MA English, BMM Advertising Major, ",Mumbai
Social worker,NGO,Sociology,Music,LinkedIn,Hands on practice with people.,No,Social work,Mumbai
Data Analyst,"IT/Software, Finance, Manufacturing",Coding,"Power BI, SQL",LinkedIn,"Quick thinking, JUGAD, and being tough",No,Human Resource,Navi Mumbai
Project coordinator,"Healthcare, Education",Not know,"Data analysis, communication, problem solving skills, ability to learn quickly ","LinkedIn,nokri.com"," digital literacy, emotional intelligence, critical thinking, leadership, effective communication, networking, and strong analytical reasonin",No,Master of social work,Navi mumbai
Teacher,Education,Sociology,Nothing,No,Human formation,No,Arts,Tura
Teacher,Education,B Com,"Electronics, plumbing ",,Vocational training and pragmatism,"Scouting, typing ",Commerce / B.A,Panjim
Screening Agent,"Finance, HR",Psychology,"Microsoft, basic canva",LinkedIn,"Handling pressure, staying calm in tight schedules, embracing negative feedback ",,BA (Economics),Vasai
Software Developer,IT/Software,,,LinkedIn,Many,Sustainable happiness,Computer Science,Mumbai
Developer,IT/Software,Computer Science,AI ML,,Bridging the gap between academic and professional settings,Artificial Intelligence,BSc Computer Science,Mumbai
VFX,IT/Software,3d,"Nuke,blender, marvellous designer",LinkedIn,I think I want to learn Houdini software because it is the most used software in my field,,Information technology,Kalyan
MANAGEMENT,"Manufacturing, Mechanical ",Same,Motorsport Pedigree / mechanical,,Motorsport engineering,Garette engineer/ rayo motorsports,Na,Navi mumbai
Accountant,"IT/Software, Finance",IT,Audit & Analytics,No,Personal finance,No,Commerce,Mumbai
Digital Marketing Executive,Marketing,Marketing,Social Media Designer,"LinkedIn, Indeed and Internshala",Umm I don't think so any.,No,Bachelors in Management Studies - Marketing,Mumbai
,Development,Rural development,"Communication, Networking,Documentation, Mobilization, Monitoring and Evaluation ",LinkedIn,Technology,Social work,Social sciences,Mumbai
Assistant taxation Manager,"Finance, Accountant",AUDIT,Taxation,LinkedIn,Grammar,Na,Advance Accounting,Mumbai
Digital Marketing Executive,Marketing,Marketing,Social Media Designer,"Indeed, LinkedIn and Internshala ",I don't think so any,No,Bachelors in Management Studies - Marketing,Mumbai
Data analyst,"IT/Software, Finance, Healthcare","Statistics, math, computing ","Basics in python, java, C#, Php, html, js, css. ",Linkedin,"Professional skills like communication, fluent english-corporate english, sibject oriented to working in & for corporate companies ",No,Bsc computer science,Mumbai
Ca,Marketing,Maths n marathi,,,Mathematics,No,Ssc,Bhayander
Full stack developer,IT/Software,"technology,finance",,Internshala,Everything is taught on a very superficial level which do not prepare us to learn any real time problem solving or get us any internships,User centric computing,Computer Science,Mumbai
Cyber security consultant,"IT/Software, Finance, Healthcare",Core technical skills,Work experience,LinkedIn,Practical case studies,Python and AI,Cybersecurity,Mumbai
Teacher,Healthcare,No. I wouldnt change them.,"Communication, creativity, problem solving, etc ",Linkedin,"Like reality training, like interview training, common etique of formal/corporate world, resume making.",History,History BA,Mumbai
Nursing Lecturer,"Healthcare, Education",No change,Nursing & Sewing,No,Nothing,,Nursing,Mumbai
HR- Operations,IT/Software,Designing,,,Mock Interviews,,B.Com Accounting  and finance,Mumbai
Data Engineer,"IT/Software, Finance, Healthcare, Marketing","Data Science, Data Analytics, Statistics, Calculus ",Good,"LinkedIn, Glassdoor ","DSA, Machine Learning, AI, Big Data","Certification course in Generative Ai, Data Science ",Computer Science,Dombivali
Artist,Art and Music,,,,,,BE Mechanical,Navi Mumbai
"Lab assistant, researcher, professor","Healthcare, Pharmaceutical, biotechnology ","I love what I'm currently pursuing, id only want to focus a bit more on finance and business ","Leadership, Communication, Adaptability, Scientific writing",No i haven't used any of these,"Finance , business, coding ","German A1 level from Mumbai University , Violin grade 6 from Trinity College London ",Msc Biotechnology,Mumbai
Programmer,IT/Software,Web development,Graphic designing,"Linkedin, internshala ",Php,Web development,BCA,Pune
Not decided,"IT/Software, Finance, Education, Marketing",I would focus on skills,Good communication,LinkedIn,I don't know,No,Computer science,Matunga
Fresher,IT/Software,Physics and Maths,Didn't understand,LinkedIn,Conversation,Data analytics,B.Sc. IT,Mumbai
Singing Teacher,Education,Music Theory,ITI in Motor Mechanics,,Theory of music,No,"BTech Mech, MBA HR, BEd, PGDGE and EPGSM",Mumbai
Social worker and career counsellor,"Education, Counselling ",Arts specialise in counselling and social Work,Certified Career counsellor/planner,LinkedIn,1. How to decide to take risks.... 2. How to work on yourself specifically being career ready.... 3. Understand and Manage Finance,Career counselling,Mechanical engineering,Goa
Management consulting,"IT/Software, Finance",Personal finance and hard skills like coding,-,LinkedIn,Soft skills and making presentations that senior management reads,Data analytics,Engineering,Mumbai
"finance, research , consult",Finance,"finance, networking , people skills","management, commumication, networking, time management, critical thinking, research ","linkedlin , internshala","soft skills, technical skills like valuation , modelling",", excel , microsoft suite",BMS bachelors in Mangement studies,mumbai
Chef,Hotel management,Math,".
",,Practical experience,.,Commerce,Mumbai
Management,"Finance, Marketing","Marketing, AI","Welding, informatics ",LinkedIn,Public relations,Informatics,Economics,Cameroon
Theology,Apologetics,Theology and philosophy,Slow criticism to hyper ones,Discord,Metaphysics,Theology,Theologian,Constantinople
Python or Java developer,"IT/Software, Finance",Coding and problem-solving skills,Teamwork,LinkedIn,"Resume building, Skill gap between industry requirements and syllabus curriculum ",Web development (going on),BSc Computer Science,Dombivli
Mechanical Design R&D engineer,"Manufacturing, R&D",Managerial/planning,"Cad designing, product development, additive manufacturing ",LinkedIn,"Entrepreneurship, planning, managerial ",Mechanical design,Mechanical engineering,Pune
Company secretary,"IT/Software, Finance",Finance,,Linkedin,Management,No,Commerce,Navi Mumbai
Website Owner,Marketing,MBA in Digital marketing or NDA,"running business online along with financial decision, P&L, funnel analysis etc.",lInkedIN or Indeed or Naukri,Office politics,Digital marketing from Simplilearn,PGDM in Marketing,Mumbai
HR,Human Resource,Law,Financial Modeling,LinkedIn,Mba degree and Vocabulary skills,Digital Marketing,Commerce,Kalyan
Teaching,Education,Political science,"Flyer making
",Na,Multi tasking,,BA English literature,Mumbai
Marketing executive,Marketing,Mathematics,"Understanding consumers need,B2B ,B2C",No,-,Digital marketing,Diploma in Nautical Science,Mumbai
Website Catalogue Executive,"IT/Software, Finance, Marketing","Ui/Ux designing, Maths","Good speaking skills 
Fluent in Shopify 
",Glassdoor,"Interpersonal skills, communication skills","Cyber forensics, Python, C ",Computer Science,Mumbai
"Assistant Professor currently, aiming to practice law at a law firm or MNC",Legal,"Better foundational study, more internships ","Research, teaching",Linkedin,"In rural india, focus is not much on practice and research, so that could be better ",Mostly legal,Law (IPR),Pune
Professor,Education,Physics,"Microsoft word, power point and photoshop.",,Life skills,Philosophy,Physics,Kallakurichi
Marketing manager,IT/Software,Biology,3d animation,LinkedIn,Practical,"Digital marketing, AI, animation ",Marketing,Mumbai
Data Scientist,"IT/Software, Marketing",Mathematics,-,LinkedIn,-,-,Bachelor's in Computer Engineering,Navi Mumbai
HR Analytics,"Marketing, Aviation ","Artificial intelligence, computer science ","Tableau, Power BI",Linkedin,"Soft skills, networking, email etiquette, basics of coding for all degrees, leveraging AI in respective fields",,Mechanical Engineering,Mumbai
"Senoir brand strategist, marketing executive ",Marketing,"I wouldnt change my course, instead want thrm to add the following subjects - Statistics, data analytics, accounting, UI/UX, Performance marketing"," Everything required to be a brand strategist. 

Research, analysing data, framing strategies, creative briefing, ideation, ",LinkedIn,"Data analysis (power BI), statistics (qual & quant research ln a large population), ",,Bachelors in mass communication and journalism,Mumbai
Car tuning/customization,Car Tuning/Customization,I wish studies never existed everything was learnt from youtube,Iti in motor mechanic,No,Electrical/electronic,Not yet,Mechanical,Mumbai
Teacher,"Education, Marketing",English,"Sound engineering, public speaking, organising events etc.",LinkedIn,Proper implementation and organisation,Sound engineering,Psychology sociology,Mumbai
Digital marketer,Marketing,Practicals of the subject,Many,Linked jn,How to ace in co-operate life,Digital marketing,Psychology,Panjim
Professor in Mphil,Education,MSW,Florist and Classical Dancer,So far I don't have it,Electronic know how,No not yet,Arts,Pune
MBA,Logistics,Medicine,AI,No,"AI, team work, lack of practical aspect of the matter we studies ",Ai online course by Jatan Shah,Commerce,Mumbai
Aviation,Aviation,Airforce,Nothing,No,Basic manners,No,Aeronautics,Malad
Dictator,Military/Political Leader,Same,Public Speaking,No,Bravery and Germany,No,"World Domination,& Make Germany great again",Braunau
Accountant,"Finance, Education",Accounts,Income tax e-filing,No,Awareness,No,BAF,Mumbai
IT,IT/Software,"Physics,Maths","Web dev ,Flutter Devloper",LinkedIn,"Practical Skills, Made a theory freak instead of reality",Web dev,Computer Science,Mumbai
Senior QA,"IT/Software, Media",Any computer language and Media subjects,Data Management and Videography,LinkedIn,AI tools,No,IT,Mumbai
Information Security,IT/Software,Networking,"Information Security Management, Compliance Management, Risk Management, Cybersecurity Governance ",Linkedin,Data Analytics,Information Security & Ethical Hacking,Electronics and telecommunication engineering,Mumbai
Pharmacy,Healthcare,Politics,Elocution,Nothing,Being mindful,Computer Science,Science,Mumbai
Software developer,IT/Software,Coding langauge,Problem solving,Linked in,English speaking,No,Science,Rahata
Full stack developer,"IT/Software, Manufacturing",Problem solving,Problem solving,LinkedIn,English speaking,No,Science,Kopargaon
Faculty,Education,Digital Marketing,Teaching,,General Awarness,No,MBA MARKETING,Aurangabad
"Business analyst, project manager","IT/Software, Healthcare, Education",,"Communication, presentation, software testing","Naukri, linkedin",Financial management,,IT,Mumbai
Nursing / Front office,"Finance, Healthcare, Education",GNM Nursing,No,No,Technical skills,MSCIT,Nursing,Mumbai
Global procurement of chemicals,Manufacturing,Industrial Coatings,"Good communication, understanding of analysis procedures ",LinkedIn Naukri,"Communication, Time management, team work, work ethics & professionalism",International Trade,Chemistry,Mumbai
Data Analyst/Scientist,"IT/Software, Finance",Analytics and finance,"R, Python, SQL","LinkedIn, Glassdoor",More AI and technological driven,"Data science, software skills, AI",M.Sc Economics,Navi Mumbai
Legal Department,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing, ",Business studies,"Data analysis, Forensic course, Cyber Law",LinkedIn,Ai,"Cyber and security law, Forensic course ",Law,Mumbai
HR,IT/Software,Dk,Na,LinkedIn,All,Na,Bcom persuing Master's,Mumbai
Data analyst,IT/Software,Maths,Computing skills,LinkedIn,Grades,Yes,BSC in AIML,MUMBAI
Retired,Retired,"Journalism, law",Too many to list,N.A.,Commonsense,N.A.,Arts,mumbai
Hospitals,"Healthcare, Education, Industries",law,Microbial skills,Linkedin,More practical skills,HACCP,Life science,Coimbatore
Psychologist,Healthcare,Science and math,Certificates of internship based on dsm and icd,Linkedln,Real life experiences,Psychology,Bachelor of arts,Mumbai
Advocate,Private,,Many such as drafting a plaint and building arguments,Linkdin,Money management,Artificial intelligence,Law,Bangalore
Gaming,"IT/Software, Finance, Marketing",Psychology,Digital marketing,No,AI,Many,MBA,Hyderabad
Student,"Healthcare, Education",Social science,Don't know,,Basic education,No,Bachelor in Theology,Mumbai
Marine researcher,Research,Chemistry,,,Dukwnd,!4&&:&/,Bsc,Mumbai
Business,"Finance, Manufacturing, Marketing",Commerce,"Strong Communication , Team work, dedication,  consistency ",LinkedIn,Practical knowledge,-,BSC - physics,Mumbai
Business,"IT/Software, Finance, Healthcare, Manufacturing, Marketing","Finance, business law, marketing and sales","Communication, teamwork, marketing, legal documentation and billing",Linkedin,"Machine learning and AI, soft skills, coding, sales ",Digital marketing,Chemistry - Life sciences,Mumbai
Paramedical technician,Healthcare,No,.,Chat gpt,.,Bakery,Bsc in BPMT Cardiology,Mumbai
Entrepreneur,"Healthcare, Manufacturing",Businesses,Editing,Linkedin Internshala Indeed,Communication,.,Bsc Microbiology,Palghar
Ground staff,Aviation,Communication,,,"Communication, Assertiveness Training, Persona development, Passenger Handling. Airline Operations",No,Commerce,Mumbai
Engineer,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing","I would foucs on English,maths,science ",Editing,Instagram,Skills like mechanical gaming,Cooding,Science,Mumbai
"Quality Control chemist, Junior chemical analyst","Education, Pharma, food and beverages",Information technology,"Chromatography workshop, HPTLC training, hands on training on sophisticated analytical instruments, Haccp ",LinkedIn,"Critical thinking, problem solving, hands on training, research experience, industry oriented topics like dyes or surfactant",Food safety,Chemistry Major,Navi mumbai
Ship Navigating Officer,Shipping,No back up,"Radio Operator, Ship Handling, Navigation etc.",LinkedIn,Nil,Nautical Science,Nautical Science,Mumbai
Freelance,"Finance, Healthcare, Education, Manufacturing",Chemistry,I have completed my diploma in BCed,Linkedin,Skills,No,Arts,Margao
Operations Executive,Sports,I wouldnâ€™t want to redo but I want to pursue a masters in sports management,Premier Pro and Microsoft Office Applications,,Financial Management skills about handling tour own finances,Finance,Management,Mumbai
CySec Eng.,IT/Software,Space,Angular,,Hands on experience on real time scenarios,Multiple under fullstack,BE EXTC,Navi Mumbai
Intership,"Finance, Marketing",Finance,I have quite a few,Linkedin,,"Communication, IT, marketing ",Commerce,Mumbai
Business,"Finance, Manufacturing, Marketing",Should've taken commerce and studied accounts,None ðŸ’€ðŸ’€,,Logic,,Arts,Mumbai
Quality Assurance Engineer,"IT/Software, Finance",Artificial Intelligence,Selenium webdriver with Java,"Glassdoor, LinkedIn, Naukri etc","Time management, priority of work","AI, ISTQB",Bachelor of Engineering (EXTC),Mumbai
Designer,Manufacturing,.,singing and playing music instruments,,.,.,Computer science,pune
Financial Reporting,Finance,Change my stream completely ðŸ¤£,"Problem solving, MS office, Communication ",LinkedIn,Practical approaches to the industry,Digital tools,Commerce accountancy,Mumbai
Talent Acquisition Specialist,"IT/Software, Finance, Healthcare, Marketing",Finance,,LinkedIn,Tax planning,Application of AI in excel,Masters of Commerce,Mumbai
RD- Registered Dietitian,Healthcare,Biology,"Microsoft office, Advance excel, tally, tally ERP 9.0 and advance tally.","Intershala, naukri and indeed ","Meal planning, Diet planning, diet counselling etc","Microsoft office, Advance excel, tally, tally ERP 9.0 and advance tally.",Science - Life science,Naigaon
Teacher,Education,Liberal Arts,"Padlet, Polaris, Ed-puzzle",Not really,Value system is dying away due to current developments in technology.,AI,Masters in History,Navi Mumbai
Senior Resource Manager,IT/Software,Certifications more than Qualification,"People Management, Good communication, etc.","Linkedin, Naukri.com, etc.","Financial Management, soft skills, money management, investments",Project management,MBA in Finance,Mumbai
"Finance executive,  Accountant",Finance,Accountancy,ðŸ¤”,LinkedIn,Sustainability practices,"Accounting, Excel ",Commerce,Mangalore
Accountant,"IT/Software, Finance, Manufacturing",Chartered accountant,Computer operations,"Linked in, indeed ",Digital marketing,No,B.com,Udupi
Audit Assistant,Finance,Taxation accounting,Communication,LinkedIn,Communication,US federal taxation-1 In Coursera  and managerial Accounting,M.com,Udupi
Marketing,"Education, Marketing",Physics and Maths,"Attention to detail, multitasking and Adaptability ",LinkedIn,"Knowledge about AI, Machine learning, Analytical psychology ",No,Multi Media and Mass Comm,Mumbai
Accountant,Finance,AI,Speech,LinkedIn,Practical knowledge,Tally,M.com,Mangalore
Markets,"Healthcare, Education, Marketing",AI,Coaching,Linkedin,AI,Soft skills,Science,Hyderabad
Admin,Manufacturing,Social Work,..,LinkedIn,...,MSW,Arts,Kota
Business,Law,Language,Sales,LinkedIn,"Sales , Creativity , Multilingual abilites , Financial Management  ",No,Business and law,Dubai
